Gender,Age,Education,Occupation ,1. From when you started using smartphone?, 2. Which of the following social media website do you currently have an account with?,3. How often do you check-in to your social media accounts in any given week?,4. What is your go-to device to access your social media feed?,5. How often do you use the chat app on your social media accounts?,6. On an average how much time do you spend on social media?,7. What is your purpose of using social media website?,8. When do you access social media websites?,9.  Do you check your social media account before going to bed?,10. How does social media affect your physical and mental health?,11. How often do you face health issues?,12. Do you want to share your opinion about social media addiction?
Female,30 to 50,Graduate,Employee,30 to 50 AgeGroup,"Facebook, WhatsApp, Zoom/Google Meet etc.",Daily,Mobile,Every day,Less than 30 mins,"To make friends, To socialize casually, Online Gaming, Studying",During my free time,Yes,Eye Related Issues,Once a month,It is very useful in every day life for acquiring the knowledge but over use of it can affect our health.
Female,30 to 50,Graduate,Housewife,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Not at all,1-2 hours,To socialize casually,During my free time,Yes,Back Pain,Once a month,Not useful for health in large 
Male,20 to 30,U.G,Entrepreneur,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Telegram, Netflix",Daily,Mobile,Every 3-4 hours,3-4 hours,"To socialize casually, To promote products/services",During my free time,Yes,"Headache, Eye Related Issues",Once a week,Usage should be moderate & productive 
Female,20 to 30,Graduate,Employee,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To make friends, Studying","During my free time, During social occasions",No,Mood swings,Once a month,Very helpful search new technology
Female,20 to 30,U.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,1-2 hours,"To socialize casually, To find a suitable date",During my free time,No,"Headache, Eye Related Issues",Once a month,It's about ppl who take it otherways 
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,More than 4 hours,Studying,"During my free time, While at school/university/work, During social occasions",Yes,"Headache, Eye Related Issues, Mood swings",Once a week,No
Female,16 to 20,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Zoom/Google Meet etc.",Daily,"Mobile, Tablet",Every day,More than 4 hours,"Online Gaming, Studying","During my free time, While at school/university/work",Yes,Headache,Once a month,No
Female,Below 16,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Zoom/Google Meet etc.",Daily,"Mobile, Tablet",Every day,More than 4 hours,"To make friends, Online Gaming, Studying","During my free time, While at school/university/work",No,Eye Related Issues,Once a week,  
Male,16 to 20,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram, Netflix",Every hour,Mobile,Every hour,More than 4 hours,"To make friends, To socialize casually, To find employment, Online Gaming, Studying","During my free time, While at school/university/work",Yes,"Headache, Eye Related Issues, Mood swings",Once a month, 
Male,16 to 20,Graduate,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Daily,Mobile,Every day,1-2 hours,Studying,During my free time,Yes,Mood swings,Everyday,Social media is not bad it helps us a lot it depend on person to person some one use social media for study purpose and someone use This for intertainment purpose .its better if we spent time for gaining good things .but someone goes to addicted to play social media like gaming chatting video .it is not good .so we should use this in a positive way
Male,20 to 30,P.G,Employee,20 to 30 AgeGroup,"Facebook, WhatsApp, LinkedIn, Zoom/Google Meet etc.",Every hour,"Mobile, Laptop",Every hour,An hour,"To make friends, Office work","During my free time, While at school/university/work, For office work",Yes,Headache,Once a week,Maximum Use must be for Official work . No doubt for entertainment and mood fresh but in limit..
Female,20 to 30,Graduate,Employee,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Daily,Mobile,Every hour,3-4 hours,"To make friends, To socialize casually",During my free time,Yes,Headache,Once a month,"Due to pandemic younger generation is highly addicted to social media, which is not good for there health."
Female,16 to 20,Graduate,Student,10 to 20 AgeGroup,Instagram,Daily,Mobile,Every 3-4 hours,1-2 hours,To promote products/services,During my free time,Yes,Eye Related Issues,Once a month,Social media is important because it's helpful in our life problems
Female,20 to 30,P.G,Housewife,20 to 30 AgeGroup,"WhatsApp, Telegram",Every hour,Mobile,Every day,An hour,Studying,During my free time,Yes,"Eye Related Issues, Mood swings",Once a month,Social media addiction is very dangerous. So much time spending on this media without any benefits. 
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,"Mobile, Laptop",Every hour,An hour,"To socialize casually, To find employment, Studying","During my free time, During meal times",Yes,"Back Pain, Depression, Mood swings",Once a week,A lot of teens feel addicted to social media.
Female,20 to 30,Graduate,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Telegram",Daily,Mobile,Every day,More than 4 hours,"To make friends, Studying",During my free time,Yes,"Headache, Eye Related Issues",Once a month,"Good
"
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,1-2 hours,"To make friends, To socialize casually, To find a suitable date, Event planning, Studying","During my free time, While at school/university/work",Yes,Mood swings,Once a week,It is good but only for a good work
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every hour,1-2 hours,"To socialize casually, Studying",During my free time,Yes,Eye Related Issues,Once a month,Social media is means of socialising but it had made people more asocial as people nowadays prefer to conduct their lives online. 
Female,20 to 30,P.G,Employee,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc.",Daily,Mobile,Every hour,1-2 hours,"To find employment, Studying",During my free time,Yes,Headache,Once a month,No comment
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc.",Daily,Mobile,Every 3-4 hours,1-2 hours,"To make friends, To socialize casually, Studying",During my free time,Yes,"Eye Related Issues, Mood swings",Once a week,"Yes, social media slowly becoming an addiction."
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,3-4 hours,"To make friends, To socialize casually, To promote products/services, Event planning, To find employment, Online Gaming, Studying","During my free time, During social occasions",Yes,"Headache, Mood swings",Once a month,Not soo good for health
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,3-4 hours,"To make friends, To socialize casually, To find employment, Studying",During my free time,Yes,"Back Pain, Headache, Eye Related Issues",Once a week,I think we should use it only when it is necessary. Otherwise we have avoid it as much as possible. But in this time of pandemic everyone is addicted with smartphone and social media even children are more addicted with smartphone and that is not good for their health. So we have to think about that. And minimize use of smartphone.
Female,20 to 30,Graduate,Employee,20 to 30 AgeGroup,WhatsApp,Daily,Mobile,Every hour,More than 4 hours,Studying,During my free time,Yes,Headache,Everyday,Priyanka bhore
Female,20 to 30,Graduate,Student,20 to 30 AgeGroup,"WhatsApp, Zoom/Google Meet etc.",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,Studying,During my free time,Yes,"Eye Related Issues, Mood swings",Once a month,It is helpful for studying but also harmful to health
Female,20 to 30,Graduate,Student,20 to 30 AgeGroup,"WhatsApp, Zoom/Google Meet etc.",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,Studying,During my free time,Yes,"Eye Related Issues, Mood swings",Once a month,It is helpful for studying but also harmful to health
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Every hour,Mobile,Every hour,3-4 hours,"To make friends, To socialize casually, Online Gaming, Studying",During my free time,Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Once a week,Social media can  affect our day to day life. Now teenagers gets very addicted but it's responsibility of their parents give them mobiles only for study and By social media addiction today's generation forget about outdoor games. 
Male,16 to 20,12 th pass,Student,10 to 20 AgeGroup,"WhatsApp, Instagram",Daily,Mobile,Every hour,1-2 hours,To socialize casually,During my free time,No,Mood swings,Once a month,It's a good when you use the less time
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,WhatsApp,Daily,Mobile,Every hour,3-4 hours,To socialize casually,During my free time,Yes,Mood swings,Once a month,No
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,1-2 hours,"To make friends, Studying",During my free time,Yes,Headache,Once a month,. 
Female,16 to 20,Engineering,Student,10 to 20 AgeGroup,"WhatsApp, Zoom/Google Meet etc.",Daily,Mobile,Every day,Less than 30 mins,"To make friends, Studying","During my free time, While at school/university/work",Yes,"Back Pain, Eye Related Issues",Everyday,Whether we use social media to connect with friends.
Female,16 to 20,U.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram",Daily,Mobile,Every day,Less than 30 mins,Studying,During my free time,No,Eye Related Issues,Twice a week,Not good
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,3-4 hours,"To make friends, To socialize casually, To find employment, Studying",During my free time,Yes,"Headache, Anxiety, Mood swings",Twice a week,Some people forget to live in real life due to more use of social media. Comparison is increased because of social media .People forget to travel in nature which is really good for health.Social media is good sometimes but more use of it can cause mental and health issues.
Female,16 to 20,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,More than 4 hours,Studying,While at school/university/work,Yes,Mood swings,Once a month,No
Female,16 to 20,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Every other day,Mobile,Every day,1-2 hours,"To make friends, To socialize casually, Studying","During my free time, During social occasions",Yes,"Anxiety, Eye Related Issues, Mood swings",Once a month,Yes social media has became a serious issues and addiction of every person in today generation.
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,More than 4 hours,"To make friends, To find employment, Online Gaming, Studying","During my free time, During social occasions, During meal times",Yes,"Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Thrice a month,"It's good but we have to make choice whether we have to take good or bad from that ...we have to take advantage of it for studying or study by seeing online u tube videos and other apps like byjus give practice tests ,online tests ...gain a lot of knowledge by watching other videos ....but don't make misuse of it by playing games for an 5 to 6 hours, operating instaa ,wp ,Facebook and many more these all is wastage of time from that we are not getting any knowledge only waste of time ...so use it for good source "
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, LinkedIn, Zoom/Google Meet etc., Telegram",Every hour,Mobile,Every hour,Less than 30 mins,"To make friends, To socialize casually, To find employment, Studying",During my free time,Yes,Headache,Once a month,Social media addiction directly impacts on human health so don't use it unnecessarily.
Male,20 to 30,Graduate,Entrepreneur,20 to 30 AgeGroup,"Facebook, WhatsApp, LinkedIn, Telegram",Daily,Mobile,Every 5-15 minutes,1-2 hours,"To make friends, To socialize casually, To find a suitable date","During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Headache, Depression, Anxiety",Once a month,Yes
Female,20 to 30,U.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Daily,Mobile,Every 3-4 hours,1-2 hours,"To socialize casually, To find employment, Studying",During my free time,Yes,Headache,Once a month,If possible we should use less social media.
Female,16 to 20,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,1-2 hours,"To make friends, To socialize casually, Studying",During my free time,Yes,Mood swings,Twice a week,Being addicted to it is something very dangerous. We should keep limits on our usage. 
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Telegram",Daily,Mobile,Every day,An hour,"To socialize casually, Studying",During my free time,Yes,"Back Pain, Headache",Once a week,"Social media is good as well as bad it depends upon the person who is using , he may used it for good purpose or bad. "
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every 5-15 minutes,An hour,"To socialize casually, To find employment, Studying",During my free time,Yes,"Back Pain, Headache, Anxiety, Eye Related Issues, Mood swings",Once a week,For me as a Studentsocial media addiction may mean more time spend online and less time spent on study. Social media interrupt Studenttime management which further affect the academic performance
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram",Daily,Mobile,Not at all,3-4 hours,Studying,During my free time,Yes,Back Pain,Once a month,None
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Telegram",Daily,Mobile,Every day,1-2 hours,"To find employment, Studying",During my free time,Yes,"Headache, Eye Related Issues",Once a month,Social media addiction is good as well as bas also.
Female,20 to 30,Graduate,Housewife,20 to 30 AgeGroup,"WhatsApp, Telegram",Daily,Mobile,Every day,3-4 hours,Studying,During my free time,Yes,Headache,Once a week,Time spending 
Male,16 to 20,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every hour,1-2 hours,"To make friends, To socialize casually, To find a suitable date, To promote products/services, Event planning, To find employment, Online Gaming, Studying",During my free time,No,"Headache, Depression, Anxiety, Eye Related Issues",Once a month,No
Male,16 to 20,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every hour,1-2 hours,"To make friends, To socialize casually, To find a suitable date, To promote products/services, Event planning, To find employment, Online Gaming, Studying",During my free time,No,"Headache, Depression, Anxiety, Eye Related Issues",Once a month,No
Female,16 to 20,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Tablet, Laptop",Every 3-4 hours,1-2 hours,"To make friends, To socialize casually, Studying","During my free time, While at school/university/work, During social occasions",No,Eye Related Issues,Once a month,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Not at all,1-2 hours,"Event planning, Studying",During my free time,No,Mood swings,Once a month,No
Male,50 above,Graduate,Service,50 and Above  AgeGroup,WhatsApp,Daily,Mobile,Every hour,3-4 hours,To socialize casually,During my free time,Yes,Back Pain,Once a month,No
Female,20 to 30,Graduate,Employee,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,Mobile,Every 5-15 minutes,1-2 hours,"To make friends, To socialize casually, To find employment, Entertainment ",While at school/university/work,Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Thrice a month,No
Male,16 to 20,10th,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,Less than 30 mins,"To make friends, Studying","During my free time, During social occasions",No,"Anxiety, Eye Related Issues, Mood swings",Once a month,No
Female,20 to 30,U.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,3-4 hours,"To make friends, Event planning, To find employment, Online Gaming, Studying",During my free time,Yes,Headache,Once a week,No
Female,20 to 30,Graduate,Employee,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Telegram",Daily,"Mobile, Laptop, Desktop",Every day,An hour,"To make friends, To socialize casually, To find a suitable date, To promote products/services, Event planning, To find employment, Online Gaming, Studying",During my free time,No,"Headache, Eye Related Issues",Once a month,No
Female,16 to 20,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To socialize casually, To promote products/services, Event planning, To find employment, Online Gaming, Studying","While at school/university/work, During social occasions",Yes,"Headache, Depression, Eye Related Issues, Mood swings",Twice a week,No
Female,20 to 30,U.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram",Every two days,Mobile,Every hour,1-2 hours,To make friends,During my free time,Yes,Back Pain,Thrice a month,No
Male,20 to 30,Graduate,Employee,20 to 30 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,Less than 30 mins,"To socialize casually, Studying",During my free time,No,"Headache, Mood swings",Thrice a month,No
Male,Below 16,School,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., YouTube",Daily,"Mobile, Laptop",Not at all,1-2 hours,"To socialize casually, Online Gaming, Entertainment","During my free time, During meal times",Yes,Back Pain,Once a week,No
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Laptop, Desktop",Every 3-4 hours,An hour,"To socialize casually, To find employment, Studying",During my free time,Yes,"Back Pain, Headache, Eye Related Issues",Twice a week,No
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Netflix",Every hour,Mobile,Every hour,An hour,"To socialize casually, To find employment, Online Gaming","During social occasions, During meal times",Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Everyday,Addiction is bad 
Female,16 to 20,11th,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,An hour,"To make friends, Studying",During my free time,Yes,"Headache, Eye Related Issues",Once a month,No
Female,30 to 50,P.G,Housewife,30 to 50 AgeGroup,"WhatsApp, Zoom/Google Meet etc.",Daily,Mobile,Every 3-4 hours,An hour,"To socialize casually, Studying",During my free time,Yes,Eye Related Issues,Once a month,No
Male,20 to 30,Graduate,Employee,20 to 30 AgeGroup,WhatsApp,Daily,Mobile,Every day,1-2 hours,Studying,During my free time,No,"Headache, Depression, Anxiety, Mood swings",Once a week,No
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To find employment, Passtime (instagram) &professional use(linkedin) ",During my free time,Yes,"Back Pain, Headache, Eye Related Issues, Mood swings",Once a month,Hate it or love it.. It has become an unavoidable part of my and everyone's life these days. I do agree it benefits us but in return takes the health. 
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every 3-4 hours,3-4 hours,"To make friends, To socialize casually, To promote products/services",During my free time,Yes,"Depression, Mood swings",Thrice a month,No
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every day,More than 4 hours,Studying,"During my free time, While at school/university/work",Yes,"Back Pain, Eye Related Issues, Mood swings",Once a month,No
Female,20 to 30,U.G,Housewife,20 to 30 AgeGroup,WhatsApp,Daily,Mobile,Every hour,3-4 hours,To socialize casually,During my free time,Yes,Mood swings,Once a month,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,1-2 hours,"To make friends, To promote products/services, To find employment, Online Gaming, Studying",During my free time,Yes,"Back Pain, Headache, Eye Related Issues",Once a month,Social media is nice way to spend time but not all time
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,1-2 hours,Studying,"During my free time, While at school/university/work",No,Eye Related Issues,Once a month,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Every hour,Mobile,Every hour,3-4 hours,"To make friends, To socialize casually, To promote products/services, Studying",During my free time,Yes,"Headache, Depression, Eye Related Issues, Mood swings",Once a month,No
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Every hour,Mobile,Every 3-4 hours,3-4 hours,"To make friends, To socialize casually",During my free time,Yes,"Back Pain, Headache, Depression, Eye Related Issues, Mood swings",Once a week,Yes
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"WhatsApp, Telegram",Daily,Desktop,Every day,1-2 hours,"To socialize casually, Studying","During my free time, During meal times",Yes,"Headache, Eye Related Issues, Mood swings",Once a week,Everything has advantage and disadvantages.  But it depends on us that is how we use it.
Female,16 to 20,Graduate,Student,20 to 30 AgeGroup,WhatsApp,Daily,Mobile,Every 5-15 minutes,Less than 30 mins,Event planning,During my free time,Yes,Back Pain,Everyday,No
Male,20 to 30,P.G,Student,4 to 10 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix, Wechat",Once a week,"Mobile, Laptop",Not at all,Less than 30 mins,"To make friends, To socialize casually, To find a suitable date, Event planning, Studying",During meal times,Yes,"Back Pain, Headache, Mood swings",Everyday,No
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every hour,More than 4 hours,Time pass,During my free time,Yes,"Headache, Anxiety, Mood swings",Once a month,No
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"WhatsApp, Zoom/Google Meet etc.",Daily,Mobile,Every hour,3-4 hours,"To socialize casually, Studying","During my free time, While at school/university/work",Yes,Eye Related Issues,Thrice a month,No
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 5-15 minutes,More than 4 hours,To make friends,During my free time,Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Everyday,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,1-2 hours,"To make friends, To socialize casually, To find employment, Online Gaming, Studying",During my free time,Yes,"Eye Related Issues, Mood swings",Once a week,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"WhatsApp, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 5-15 minutes,Less than 30 mins,Studying,While at school/university/work,Yes,Eye Related Issues,Everyday,Yes
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,1-2 hours,"Event planning, Studying",During my free time,Yes,Headache,Thrice a month,No
Male,20 to 30,Graduate,Employee,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Telegram",Daily,Mobile,Every hour,3-4 hours,"To make friends, Online Gaming","During my free time, While at school/university/work",Yes,"Back Pain, Eye Related Issues, Mood swings",Twice a week,No
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,1-2 hours,To socialize casually,During my free time,Yes,"Headache, Eye Related Issues",Once a week,Yes
Male,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To socialize casually, To find a suitable date","During my free time, During social occasions",Yes,Mood swings,Once a month,No
Male,20 to 30,P.G,Employee,20 to 30 AgeGroup,WhatsApp,Daily,Mobile,Every day,Less than 30 mins,To find employment,During my free time,No,Eye Related Issues,Thrice a month,No
Female,20 to 30,Student,Student,20 to 30 AgeGroup,WhatsApp,Every other day,Mobile,Every day,More than 4 hours,To socialize casually,During my free time,Yes,Mood swings,Once a month,No
Male,20 to 30,Graduate,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, LinkedIn",Every two days,Mobile,Every 5-15 minutes,1-2 hours,"To socialize casually, To promote products/services, To find employment, Studying","During my free time, During social occasions, During meal times",Yes,"Depression, Anxiety",Thrice a month,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To socialize casually, To find employment, Studying",During my free time,Yes,"Eye Related Issues, Mood swings",Once a month,No
Male,20 to 30,Graduate,Student,20 to 30 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Telegram",Every hour,"Mobile, Laptop",Every hour,3-4 hours,"To socialize casually, To find employment, Studying",During my free time,Yes,"Headache, Mood swings",Once a week,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,3-4 hours,"To make friends, To socialize casually, Event planning, To find employment, Studying","During my free time, While at school/university/work, During social occasions",Yes,"Headache, Eye Related Issues, Mood swings",Twice a week,Now a days due to pandamic situation so many people addict to social median 
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To socialize casually, To find employment, Studying",During my free time,No,Eye Related Issues,Once a month,No
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,An hour,"To make friends, To socialize casually, Studying",During my free time,No,"Back Pain, Headache",Once a month,"Sure, in current life its important to use a social media and it's also helpful for us actually.But at some point it's necessary to put limitations for the excess use of social media.Beacause  its benifitial for our health."
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every hour,An hour,"To socialize casually, To promote products/services, Studying","During my free time, During social occasions",Yes,Eye Related Issues,Everyday,No
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,Mobile,Every hour,1-2 hours,"To socialize casually, To find employment, Online Gaming, Studying","During my free time, During meal times",Yes,Mood swings,Once a month,No
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every 5-15 minutes,Less than 30 mins,To socialize casually,During my free time,Yes,Eye Related Issues,Everyday,No
